Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Polatbay Berdaliyev and Abduseit Ormanov,Male Group,"Uzbekistan, Kazakhstan",Multiple Countries,Asia,2011,2012,2011,1,2010s,11,0,11,"Raped, robbed and murdered women along desolate roads; both sentenced to life imprisonment in both countries."
Wolfgang Abel and Marco Furlan,Male Group,"Italy, West Germany, Netherlands",Multiple Countries,Europe,1977,1984,1980,7,1980s,27,17,10,"The victims, seemingly chosen at random and killed by different methods, were found next to letters written in Italian, signed ""Ludwig"" and containing Nazi imagery, that gave a reason for why the murder had been committed. Abel and Furlan were arrested in Castiglione delle Stiviere while dousing a crowded discothèque with gasoline and sentenced in 1987 to 30 years in prison for all crimes (later reduced to 27)."
Juan Carlos Hernández and Patricia Martínez,Couple,Mexico,Mexico,North America,2012,2018,2015,6,2010s,20,10,10,"Known as the ""Monsters of Ecatepec""; couple who raped, murdered and cannibalized women."
Hillside Stranglers,Gang,United States,United States,North America,1977,1979,1978,2,1970s,10,0,10,"Initially believed to be one person, two perpetrators were eventually discovered to be cousins Kenneth Bianchi and Angelo Buono Jr. Convicted of kidnapping, raping, torturing and murdering 10 women and girls ranging in age from 12 to 28."
Joshi-Abhyankar serial murderers,Gang,India,India,Asia,1976,1977,1976,1,1970s,10,0,10,"Four Pune commercial art students (Rajendra Jakkal, Dilip Sutar, Shantaram Kanhoji Jagtap and Munawar Harun Shah) that broke into random people's homes and businesses and strangled them with a nylon rope. Executed by hanging in 1983."
Gerald and Charlene Gallego,Couple,United States,United States,North America,1978,1980,1979,2,1970s,10,0,10,"Killed 10 victims in Sacramento, California. Gerald Gallego died of cancer before his death sentence could be carried out. Charlene Gallego was released July 1997."
Viña del Mar psychopaths,Male,Chile,Chile,South America,1980,1981,1980,1,1980s,10,0,10,"Jorge Sagredo and Carlos Topp committed 10 murders and four rapes from 5 August 1980 to 1 November 1981 in the city of Viña del Mar. Executed by firing squad in 1985, they became the last people executed in Chile."
Yevgeny Nagorny and Sergei Stavitsky,Male Group,Russia,Russia,Europe,1998,2007,2002,9,2000s,10,0,10,Killed clients with expensive cars in their autoshop in order to sell them; sentenced to life imprisonment.
National Socialist Underground,Gang,Germany,Germany,Europe,2000,2007,2003,7,2000s,10,0,10,"Neo-Nazi group who killed 10 ethnic Turks in the Bosphorus serial murders from 2000 to 2007. Most victims were small business owners killed in broad daylight with a gunshot to the face. Two of the suspects killed themselves and a third, Beate Zschäpe, was apprehended in 2011."
The Manson Family cult killings,Gang,United States,United States,North America,1967,1969,1968,2,1960s,9,0,9,"A California desert cult formed by Charles Manson in 1967, the 'Manson Family' committed a series of murders in name of promoting Manson's goal of causing a race war that he called Helter Skelter."
Song Jinghua and Yan Jinguang,Male Group,China,China,Asia,2005,2007,2006,2,2000s,9,0,9,"Robbed and killed women in Beijing out of revenge for Song's brother, who was previously executed for an unrelated crime."
Tadeusz Grzesik and the Bureaucrats Gang,Gang,Poland,Poland,Europe,1991,2007,1999,16,1990s,20,12,8,"Robbed and killed people in several Polish voivodeships, mainly owners of exchange offices."
Edgar Álvarez Cruz and Francisco Granados,Male Group,Mexico,Mexico,North America,1993,2003,1998,10,1990s,14,5,9,"Kidnapped, drugged, raped and then killed women in cotton fields."
The Ciudad Juárez Rebels,Gang,Mexico,Mexico,North America,1995,1996,1995,1,1990s,12,4,8,"Gang of serial killers, led by Sergio Armendáriz Diaz and Juan Contreras Jurado, who killed women in Ciudad Juárez; claimed to work for Abdul Latif Sharif."
The Hernández Brothers Sect,Gang,Mexico,Mexico,North America,1963,1972,1967,9,1960s,8,0,8,"Originally a scam intended to extort money and sexual favors from the poor, illiterate inhabitants of the small village of Yerba Buena, who were promised favors from ""Inca gods"" in the mountains, the cult came to include Aztec-inspired human sacrifices after prostitute Magdalena Solís took over as high priestess. 15 people were sentenced to 30 years in prison for their participation in the ritual murders of seven villagers and one police officer."
Rudolfo Infante and Anna Villeda,Couple,Mexico,Mexico,North America,1991,2000,1995,9,1990s,8,0,8,Responsible for 8 murders.
Dale Hausner and Samuel Dieteman,Male Group,United States,United States,North America,2006,2015,2010,9,2010s,8,0,8,"Known as the ""Serial Shooter"". Responsible for 8 murders in random drive-by shootings in 2006 in Phoenix, Arizona."
Futoshi Matsunaga and Junko Ogata,Couple,Japan,Japan,Asia,1996,1998,1997,2,1990s,9,2,7,"Matsunaga and Ogata tortured and killed seven people who Matsunaga held prisoner through blackmail, six of whom were members of the Ogata family. Matsunaga was also investigated in the death of a woman he defrauded and one of her children but no evidence was found to prove he had murdered them."
Christopher Worrell and James Miller,Male Group,Australia,Australia,Oceania,1976,1977,1976,1,1970s,7,0,7,"Known as the ""Truro Murderers""; Worrell was killed in a car accident and the killings stopped. Later Miller was convicted of killing seven people in 1976–1977."
Fa Ziying and Lao Rongzhi,Male Group,China,China,Asia,1996,1999,1997,3,1990s,7,0,7,"A pair of Chinese serial killers. The two met in 1993 and later became lovers. The prosecution accused them of kidnapping, robbery, and murder in Nanchang, Wenzhou, and Hefei from 1996 to 1999. A total of 7 people were killed. Ziying was arrested on 23 July 1999 in Hefei and subsequently sentenced to death, deprived of political rights for life, and fined by the Hefei Intermediate People's Court. On 28 December 1999, Ziying was executed by being shot."
Johannes van Rooyen and Dumisani Makhubela,Male Group,South Africa,South Africa,Africa,2005,2014,2009,9,2000s,7,0,7,"Two South African men who raped, robbed and murdered multiple victims, including a family of four. Sentenced to four centuries in prison after a two-year trial."
Auto Shankar's Gang,Gang,India,India,Asia,1988,1989,1988,1,1980s,9,3,6,"Nine men who collaborated to abduct and murder at least 6 teenage girls in Chennai; their bodies were cremated and thrown into the sea or buried under residential homes. Leader Auto Shankar and two accomplices were sentenced to death by hanging in 1991, his brother Auto Mohan to three consecutive life sentences in prison and five other collaborators to six months in prison."
Gert van Rooyen and Joey Haarhof,Male Group,South Africa,South Africa,Africa,1988,1989,1988,1,1980s,8,2,6,Their victims were never found; the pair shot dead a police officer and then committed suicide when faced with arrest after the escape of their last kidnap victim.
Kiss brothers and Zsolt István Pető,Male Group,Hungary,Hungary,Europe,2008,2009,2008,1,2000s,6,0,6,"A series of murders perpetrated by three Neo-Nazis (with an accomplice István Csaba Csontos) against people of Roma ethnicity, occurring between July 2008 and August 2009. It is regarded as one of the worst crimes in the country's history after the war."
Hermann Duft and Hans Wilhelm Bassenauer,Male Group,Greece,Greece,Europe,1969,1978,1973,9,1970s,6,0,6,"German serial killers who murdered six persons in Greece, within a short period in 1969, were captured, tried, sentenced to death and executed."
David Alan Gore and Fred Waterfield,Male Group,United States,United States,North America,1981,1983,1982,2,1980s,6,0,6,Cousins connected to the murders of six females. Gore was executed in 2012 and Waterfield was sentenced to life imprisonment.
Artyom Alexandrovich Anoufriev and Nikita Vakhtangovich Lytkin,Male Group,Russia,Russia,Europe,2010,2011,2010,1,2010s,6,0,6,Teenaged thrill-killers of random people.
The Skin Hunters,Gang,Poland,Poland,Europe,,2002,,,<NA>s,620,615,5,"Hospital crew that killed patients in order to get bribes from nearby funeral homes. Two doctors and two paramedics were convicted for the murder of five patients, but the investigation is continuing, with over 40 remaining suspects. There are also suspicions that due to the heavy use of pancuronium bromide, scoline and potassium chloride in 1998–2001, the number of victims could be as high as 1200."
Ray and Faye Copeland,Gang,United States,United States,North America,1986,1989,1987,3,1980s,12,7,5,Oldest couple ever sentenced to death in the United States at the ages of 75 and 69; convicted of killing five men; modus operandi was to hire unskilled drifters as farmhands and later kill them.
Ian Brady and Myra Hindley,Gang,United Kingdom,United Kingdom,Europe,1963,1965,1964,2,1960s,12,7,5,"Responsible for the ""Moors murders"": they abducted, raped, tortured and murdered at least five children in the Manchester area before burying their victims on Saddleworth Moor as part of an experiment in ""existential experience"". The case attracted much media coverage long after the two were sentenced, especially in the United Kingdom, as Hindley sought release from prison from the 1980s but was refused and died in prison. Five victims were identified although Brady periodically claimed that there were up to twelve."
Lawrence Bittaker and Roy Norris,Male Group,United States,United States,North America,1979,1988,1983,9,1980s,5,0,5,"The ""Toolbox Killers""; they kidnapped, raped, tortured and murdered five female hitchhikers in southern California over a five-month period in 1979."
"""The Family""",Male,Australia,Australia,Oceania,1979,1983,1981,4,1980s,5,0,5,"An alleged group of up to 12 Australian men, believed to include unspecified high-profile figures, responsible for the abduction, torture and murder of five Australian teenagers and young adults who died from being sodomized with blunt instruments. One member of the group, Bevan Spencer von Einem, was convicted of the final murder, but police believe more unidentified people to have been involved in the crimes. The group has also been linked to upwards of 150 sexual assaults and rapes against teenage boys."
James Gregory Marlow and Cynthia Coffman,Couple,United States,United States,North America,1986,1995,1990,9,1990s,5,0,5,Killed four women and one man in 1986.
Gwendolyn Graham and Catherine May Wood,Female,United States,United States,North America,1987,1996,1991,9,1990s,5,0,5,"Nurses who killed five elderly women in Grand Rapids, Michigan."
Chijon family,Male,South Korea,South Korea,Asia,1993,2002,1997,9,1990s,5,0,5,South Korean gang of cannibals that was sentenced to death for killing five people.
Loren Herzog and Wesley Shermantine,Male Group,United States,United States,North America,1984,1999,1991,15,1990s,19,15,4,"Known as the ""Speed Freak Killers""; California duo initially convicted of four murders from 1984 to 1999."
David and Catherine Birnie,Couple,Australia,Australia,Oceania,1986,1995,1990,9,1990s,6,2,4,"Australian couple who raped and murdered four women in their home and attempted to murder a fifth in Perth in 1986. Both were sentenced to four consecutive life sentences without the possibility of parole; David Birnie hanged himself in prison on October 7, 2005."
